No disposition;Nature mutation;Valeur fonciere;No voie;Code type de voie;Type de voie;Code voie;Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;No plan;1er lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;
1;Vente;103000;25;1;AV;508;DES FEUILLATES;277;10430;ROSIERES PRES TROYES;10;325;47;4;1;1;Maison;36;2;
1;Vente;103000;1;5;CHE;249;DE L INFIRMERIE;949;34340;MARSEILLAN;34;150;137;58;1;2;Appartement;35;3;
1;Vente;103000;20;0;RUE;310;DE LA CROIX;3154;95220;HERBLAY-SUR-SEINE;95;306;70;20;1;2;Appartement;27;1;
1;Vente;103000;4;0;RUE;4150;DU PERREUX;3155;95100;ARGENTEUIL;95;018;384;8;1;1;Maison;24;1;
1;Vente;103000;41;0;RUE;100;ARISTIDE BRIAND;1287;44340;BOUGUENAIS;44;020;332;3;1;1;Maison;42;3;
1;Vente;103000;237;0;RUE;390;CLAUDIUS SAVOYE;2007;69400;VILLEFRANCHE;69;264;253;44;2;2;Appartement;71;4;
1;Vente;103000;3;0;RUE;72;ANDRE LALANDE;2821;91000;EVRY-COURCOURONNES;91;228;222;5017;1;2;Appartement;27;1;
1;Vente;103000;1;0;RUE;740;POIDEVIN;1732;60700;PONT STE MAXENCE;60;509;654;7;1;2;Appartement;62;4;
1;Vente;103000;5;0;RUE;5830;DU MOULINET;2199;76000;ROUEN;76;540;66;12;1;2;Appartement;32;1;
1;Vente;103000;37;24;QUAI;500;FRANKLIN ROOSEVELT;2297;77920;SAMOIS SUR SEINE;77;441;283;230;1;2;Appartement;40;2;
1;Vente;103090;95;0;RUE;1030;DE LA LIBERTE;2677;84120;PERTUIS;84;089;119;13;1;2;Appartement;36;2;
1;Vente;103090;17;0;RUE;20;ALEXANDRE DUMAS;65;2600;VILLERS-COTTERETS;02;810;430;18;1;2;Appartement;86;3;
1;Vente;103175;1;2;ALL;6172;DE NORMANDIE;3035;94320;THIAIS;94;073;404;5;2;2;Appartement;48;2;
1;Vente;103180;694;1;AV;460;DES THERMES;1082;38410;SAINT-MARTIN-D'URIAGE;38;422;14;3;2;2;Appartement;27;1;
1;Vente;103200;200;0;RUE;890;ROGER SALENGRO;1635;59790;RONCHIN;59;507;1442;115;1;2;Appartement;41;2;
1;Vente;103239;8;0;RUE;3628;GAL TRAVOT;1280;44100;NANTES;44;109;822;2;1;2;Appartement;20;1;
1;Vente;103250;3;0;RUE;4495;JOSEPH CLERC;2229;76600;LE HAVRE;76;351;21;16;1;2;Appartement;42;2;
1;Vente;103250;22;24;QUAI;250;DE VILLEVERT;1905;69250;ALBIGNY-SUR-SAONE;69;003;79;4;1;2;Appartement;30;1;
1;Vente;103300;89;0;RUE;330;DU STADE;392;17180;PERIGNY;17;274;98;10;1;2;Appartement;43;2;
1;Vente;103300;60;0;RUE;750;DE LA MAIRIE;1355;45800;ST JEAN DE BRAYE;45;284;938;3;1;2;Appartement;52;2;
1;Vente;103326;7;0;RUE;348;VICTOR HUGO;1526;54410;LANEUVEVILLE-DEVANT-NANCY;54;300;616;3;1;2;Appartement;66;3;
1;Vente;103400;2;0;RUE;319;EDMOND ROSTAND;735;31130;BALMA;31;044;444;34;1;2;Appartement;32;1;
1;Vente;103400;496;15;BD;700;GAMBETTA;2007;69400;VILLEFRANCHE;69;264;346;30;2;2;Appartement;56;3;
1;Vente;103500;760;1;AV;551;DE LA PLAGE;2715;85440;TALMONT-SAINT-HILAIRE;85;288;116;20;1;1;Maison;44;2;
1;Vente;103500;7;0;RUE;70;DU CHATEAU;2378;77100;NANTEUIL-LES-MEAUX;77;330;807;34;1;2;Appartement;24;1;
1;Vente;103500;79;59;DOM;A019;DE LA BAIE;2721;85460;FAUTE-SUR-MER (LA);85;307;354;14;1;1;Maison;37;2;
1;Vente;103500;10;15;BD;1100;DU NORD;201;6110;LE CANNET;06;030;324;30;1;2;Appartement;45;2;
1;Vente;103500;2;0;RUE;380;DE L ERMITAGE;3141;95320;ST LEU LA FORET;95;563;109;8;1;2;Appartement;28;2;
1;Vente;103500;102;0;RUE;8175;DE REUILLY;3204;75012;PARIS 12;75;112;34;85;1;2;Appartement;22;1;
1;Vente;103500;6;1;AV;100;DE FONTAINEBLEAU;2282;77310;PRINGY;77;378;194;12;1;2;Appartement;45;2;
1;Vente;103500;18;0;RUE;360;ANTIGNA;1356;45000;ORLEANS;45;234;155;12;1;2;Appartement;41;2;
1;Vente;103500;4;2;ALL;250;D'ARTOIS;2859;91170;VIRY CHATILLON;91;687;24;121;3;2;Appartement;37;2;
1;Vente;103500;41;0;RUE;9085;STENDHAL;3211;75020;PARIS 20;75;120;74;1;1;2;Appartement;9;1;
1;Vente;103500;4;1;AV;1400;CHARLES DE GAULLE;2798;89000;AUXERRE;89;024;227;160;1;2;Appartement;63;3;
1;Vente;103500;34;0;RUE;2320;JEAN MERMOZ;601;29200;BREST;29;019;39;14;2;2;Appartement;74;3;
1;Vente;103600;72;0;RUE;5248;VICTOR BASCH;2750;87280;LIMOGES;87;085;184;38;1;1;Maison;78;4;
1;Vente;103695;50;1;AV;423;JEAN JAURES;2689;84290;SAINTE-CECILE-LES-VIGNES;84;106;19;25;1;2;Appartement;37;2;
1;Vente;103700;13;0;RUE;3070;DU PONT ST HILAIRE;564;28000;CHARTRES;28;085;134;9;1;2;Appartement;38;2;
1;Vente;103750;19;4;CRS;480;STALINGRAD;1128;38470;VINAY;38;559;58;6;1;2;Appartement;69;3;
1;Vente;103770;16;0;RUE;12;BLERIOT;1653;59139;WATTIGNIES;59;648;2;10;2;2;Appartement;79;4;
1;Vente;103830;15;0;RUE;190;GEORGES VARLET;574;28110;LUCE;28;218;163;103;2;2;Appartement;67;3;
1;Vente;103900;22;1;AV;515;EDOUARD HERRIOT;2013;69170;TARARE;69;243;35;3;1;2;Appartement;83;4;
1;Vente;103900;66;1;AV;8135;DE LA REPUBLIQUE;3017;93110;ROSNY-SOUS-BOIS;93;064;185;20;1;2;Appartement;14;1;
1;Vente;103950;102;0;RUE;570;DE LILLE;1633;59350;SAINT-ANDRE;59;527;27;3;1;2;Appartement;35;2;
1;Vente;104000;15;0;RUE;3060;JEAN JACQUES ROUSSEAU;415;18000;BOURGES;18;033;742;158;2;2;Appartement;78;3;
1;Vente;104000;17;8;;A013;RUE JEAN JAURES HLM;2288;77300;FONTAINEBLEAU;77;186;334;11;1;2;Appartement;44;2;
1;Vente;104000;117;0;RUE;16;ANTOINE FUET;299;11210;PORT-LA-NOUVELLE;11;266;9;5;1;2;Appartement;47;2;
1;Vente;104000;9014;8;;B262;SCUBIDAN;1579;56520;GUIDEL;56;078;125;28;1;2;Appartement;58;3;
1;Vente;104000;356;1;AV;390;DE DUNKERQUE;1629;59130;LAMBERSART;59;328;274;3;1;2;Appartement;45;2;
1;Vente;104000;9001;79;FRM;A050;DU TEMPLE;2839;91130;RIS-ORANGIS;91;521;85;1873;2;2;Appartement;52;3;
1;Vente;104000;63;1;AV;1960;PAUL BERT;3005;93190;LIVRY-GARGAN;93;046;5668;16;1;2;Appartement;32;1;
1;Vente;104000;17;1;AV;1033;DE LA JETEE;2623;83500;LA SEYNE SUR MER;83;126;8;10;1;2;Appartement;30;1;
1;Vente;104000;37;1;AV;260;CHARLES ROUXEL;2272;77340;PONTAULT COMBAULT;77;373;109;5;1;2;Appartement;33;1;
1;Vente;104000;25;1;AV;2675;FREMONT;148;6200;NICE;06;088;43;58;1;2;Appartement;22;1;
1;Vente;104000;10;0;RUE;500;EGAULT DES NOES;447;22100;DINAN;22;050;38;44;2;2;Appartement;78;5;
1;Vente;104000;96;0;RUE;2260;GIRAUDEAU;1035;37000;TOURS;37;261;1174;46;2;2;Appartement;60;2;
1;Vente;104000;1;0;RUE;950;DE LA MARNE MAL JOFFRE;149;6500;MENTON;06;083;89;8;1;2;Appartement;18;2;
1;Vente;104000;2;0;RUE;3588;FONTAINIEU;343;13012;MARSEILLE 12EME;13;212;124;9;1;2;Appartement;32;2;
1;Vente;104000;29;0;RUE;2000;DE REIMS;1482;51200;EPERNAY;51;230;509;16;1;2;Appartement;74;3;
1;Vente;104000;;0;RUE;253;PIERRE CURIE;3123;95470;VEMARS;95;641;93;48;1;2;Appartement;23;1;
1;Vente;104000;15;0;RUE;55;DES ECOLES;987;35340;LIFFRE;35;152;261;7;1;2;Appartement;45;2;
1;Vente;104000;28;0;RUE;260;DE LA PARMENTIERE;1036;37520;LA RICHE;37;195;176;71;2;2;Appartement;52;3;
1;Vente;104000;4;18;RES;A004;LES ALOUETTES 2;2715;85440;TALMONT-SAINT-HILAIRE;85;288;122;11;1;2;Appartement;43;3;
1;Vente;104000;12;0;RUE;423;JEAN LOUIS MEDARD;907;34400;LUNEL;34;145;44;4;1;2;Appartement;73;3;
1;Vente;104000;38;0;RUE;77;DE LA CHARBONNIERE;2350;77144;MONTEVRAIN;77;307;182;441;1;2;Appartement;22;1;
1;Vente;104000;66;0;RUE;7125;DE PARIS;2994;93380;PIERREFITTE-SUR-SEINE;93;059;181;10;1;2;Appartement;34;2;
1;Vente;104000;1;1;AV;1250;P CASSAGNAVERE;368;14360;TROUVILLE-SUR-MER;14;715;300;4206;1;2;Appartement;40;2;
1;Vente;104000;112;0;RUE;2191;DE LA RASCASSE;2637;83400;HYERES;83;069;47;203;1;2;Appartement;25;1;
1;Vente;104000;7;2;ALL;405;DU FRONTON;1844;64400;OLORON SAINTE MARIE;64;422;344;19;2;1;Maison;65;3;
1;Vente;104000;5;2;ALL;6523;DE LA SYLPHIDE;1055;38100;GRENOBLE;38;185;304;63;1;2;Appartement;51;2;
1;Vente;104000;38;0;RUE;305;JOSEPH MARION;4;1200;VALSERHONE;01;033;109;2;1;2;Appartement;60;3;
1;Vente;104000;7;12;PL;5894;MAL DE LATTRE DE TASSIGNY;1488;51100;REIMS;51;454;415;69;2;2;Appartement;64;4;
1;Vente;104000;237;0;RUE;2270;DU QUATORZE JUILLET;800;33400;TALENCE;33;522;803;15;1;2;Appartement;24;1;
1;Vente;104000;6;0;RUE;650;DES RUELLES;2452;78250;MEULAN-EN-YVELINES;78;401;408;18;3;2;Appartement;39;2;
1;Vente;104000;3;0;RUE;3200;DE LA CHEVALERIE;1637;59650;VILLENEUVE-D'ASCQ;59;009;389;301;1;2;Appartement;46;2;
1;Vente;104000;1;0;RUE;4094;DES CENDRES;2724;85340;SABLES-D'OLONNE (LES);85;194;1989;85;1;2;Appartement;54;2;
1;Vente;104000;7;0;RUE;2336;DE VOLVIRE DE BRASSAC;947;34300;AGDE;34;003;2;71;1;1;Maison;32;2;
1;Vente;104000;84;0;RUE;4750;MAISSIN;2625;83000;TOULON;83;137;162;3;1;2;Appartement;45;3;
1;Vente;104000;2;0;RUE;4382;DU POURQUOI PAS;601;29200;BREST;29;019;447;219;2;2;Appartement;52;3;
1;Vente;104000;41;0;RUE;460;DU BAS COUDRAY;2818;91100;CORBEIL ESSONNES;91;174;327;22;1;2;Appartement;41;2;
1;Vente;104000;44;0;RUE;7860;SAINT JOSEPH;729;31400;TOULOUSE;31;555;340;16;2;2;Appartement;47;2;
1;Vente;104000;23;0;RUE;1210;COMMANDANT CHARCOT;1326;44600;SAINT-NAZAIRE;44;184;227;116;2;2;Appartement;25;2;
1;Vente;104000;8;12;PL;55;ARISTIDE BRIAND;3067;95300;PONTOISE;95;500;223;311;2;2;Appartement;66;3;
1;Vente;104000;1;0;RUE;3030;DE LAXOU;1512;54000;NANCY;54;395;702;286;1;2;Appartement;61;3;
1;Vente;104000;26;2;ALL;240;CLEMENCET;3014;93340;LE RAINCY;93;062;14;11;1;2;Appartement;25;1;
1;Vente;104000;1;10;IMP;1367;DE LA CALYPSO;1277;44000;NANTES;44;109;764;2067;1;2;Appartement;30;1;
